183,inhale,unknown,[[  2.10168570e-01   1.33310250e-05   7.89818048e-01]]
196,inhale,unknown,[[  4.89691406e-01   1.62794768e-05   5.10292292e-01]]
199,inhale,unknown,[[  2.85287887e-01   2.36813285e-04   7.14475214e-01]]
27,unknown,inhale,[[  9.29203928e-01   2.65671610e-04   7.05303773e-02]]
54,unknown,inhale,[[  8.58457923e-01   5.76422084e-04   1.40965611e-01]]
86,unknown,exhale,[[ 0.24886063  0.61076444  0.14037496]]
90,unknown,inhale,[[  7.39521205e-01   4.28935513e-04   2.60049820e-01]]
98,unknown,exhale,[[ 0.01113022  0.90231287  0.08655692]]
102,unknown,exhale,[[ 0.00922063  0.69565016  0.29512924]]
103,unknown,exhale,[[ 0.0042429   0.91485816  0.08089894]]
121,unknown,exhale,[[ 0.01415158  0.5127914   0.47305703]]
130,unknown,inhale,[[  9.53537524e-01   6.68675464e-04   4.57937568e-02]]
143,unknown,inhale,[[ 0.55071616  0.00240112  0.44688272]]
147,unknown,exhale,[[ 0.01216708  0.6722157   0.31561714]]
153,unknown,exhale,[[ 0.0079873   0.8466664   0.14534631]]
160,unknown,inhale,[[  6.92684293e-01   1.68164945e-04   3.07147473e-01]]
179,unknown,exhale,[[ 0.00850295  0.63988054  0.35161647]]
183,unknown,inhale,[[ 0.6797002   0.02571853  0.29458126]]
187,unknown,exhale,[[ 0.00873378  0.58012456  0.41114163]]
233,unknown,exhale,[[ 0.00481485  0.82694679  0.16823837]]
234,unknown,exhale,[[ 0.0817913   0.62182599  0.29638273]]
242,unknown,exhale,[[ 0.00322204  0.78378427  0.21299377]]
248,unknown,exhale,[[ 0.00088958  0.62378895  0.37532145]]
271,unknown,exhale,[[ 0.00428814  0.82938451  0.1663274 ]]
288,unknown,exhale,[[ 0.00920833  0.55265313  0.43813854]]
323,unknown,exhale,[[ 0.01183048  0.59820896  0.38996062]]
324,unknown,exhale,[[ 0.00290149  0.88625908  0.1108394 ]]
325,unknown,inhale,[[ 0.55376285  0.05956113  0.38667601]]
330,unknown,exhale,[[ 0.00944137  0.84861022  0.14194839]]
339,unknown,exhale,[[ 0.00214111  0.7479468   0.24991208]]
340,unknown,exhale,[[ 0.01250693  0.77691311  0.21057996]]
352,unknown,exhale,[[ 0.00369003  0.80506974  0.19124021]]
357,unknown,exhale,[[ 0.00526782  0.81948     0.17525217]]
387,unknown,exhale,[[ 0.0027535   0.51420712  0.48303941]]
389,unknown,exhale,[[ 0.00778647  0.74175179  0.25046173]]
398,unknown,exhale,[[ 0.02264175  0.92215174  0.05520643]]
1,exhale,unknown,[[ 0.00497047  0.21142575  0.78360373]]
3,exhale,unknown,[[ 0.00615721  0.47189417  0.52194864]]
4,exhale,unknown,[[ 0.13728994  0.40066949  0.46204057]]
6,exhale,unknown,[[ 0.08802056  0.31728852  0.59469092]]
10,exhale,unknown,[[ 0.00436321  0.15706052  0.83857626]]
13,exhale,unknown,[[ 0.00259715  0.49306917  0.50433367]]
26,exhale,unknown,[[ 0.05577489  0.43615213  0.50807297]]
